Vx_entropy, Vy_entropy, Vx_amplitude, Vy_amplitude, Vx_max, Vy_max, Vx_min, Vy_min, Vx_mean, Vy_mean, svm_class
3.5854888,3.6212683,1.3136399,1.8369248,0.59493464,0.93698937,-0.7187052,-0.8999354,0.02010494,0.008377238,0
4.0423856,4.058511,1.5206041,1.3422551,0.3830127,0.63052005,-1.1375914,-0.711735,0.02098343,0.023826068,0
4.7641506,4.326472,2.5718043,2.5132356,1.4424369,1.2293477,-1.1293674,-1.283888,-0.0029176266,-0.14892924,0
4.561673,4.3838544,4.1233873,3.700001,1.0452201,2.115207,-3.0781674,-1.584794,-0.026804205,-0.028358458,0
4.845399,4.86959,4.7456684,4.060794,3.907329,1.5891355,-0.83833957,-2.4716585,0.39208868,-0.14245842,0
3.6825178,3.7560816,1.8761332,1.8705424,0.5525982,0.83567894,-1.323535,-1.0348635,-0.048168477,-0.0047308872,0
4.6359196,5.1168675,2.323061,2.2463045,1.1396384,1.2603436,-1.1834226,-0.98596084,-0.12512629,0.0039921855,0
3.9175136,3.9367275,1.2901163,1.3887236,0.3584818,0.7546893,-0.93163455,-0.6340344,-0.06361405,0.014985578,0
3.9190295,3.4720373,8.313449,7.727907,4.721214,0.16921265,-3.5922348,-7.5586944,0.30668932,-1.4652956,0
2.3292146,2.5853405,6.4173117,4.9773445,6.33042,2.132904,-0.086891584,-2.8444405,1.2243743,-0.040330626,0
3.1770716,2.2067494,2.173481,5.3147645,1.1478814,4.299282,-1.0255996,-1.0154825,-0.062170316,0.43262115,0
2.9240475,2.5778062,0.91358405,1.5293603,0.5754169,0.5866225,-0.33816713,-0.9427379,0.013595106,-0.0030919572,0
3.262724,3.1571832,4.266199,5.147455,1.7757428,3.1507282,-2.490456,-1.9967269,0.021850292,-0.011715007,0
3.8609102,3.9463644,4.7768793,6.8614364,3.9209332,3.418933,-0.8559462,-3.4425035,0.08971839,0.02188973,0
5.2111654,4.890621,1.9619066,2.2387187,1.4731551,1.3859239,-0.48875144,-0.8527949,0.053628214,0.18119606,0
3.131929,3.165648,5.63323,9.2290745,2.4800315,2.5998597,-3.1531987,-6.6292143,-0.030279607,-0.018712906,0
3.5193632,3.3911428,1.5719566,3.873176,0.49523938,2.0163522,-1.0767173,-1.8568238,-0.043306686,0.04315977,0
2.3879762,3.4468868,4.3413587,3.036256,0.04262432,1.3290793,-4.298734,-1.7071768,-1.1708728,-0.12135501,0
3.2093058,3.4233887,4.014541,5.9555836,3.821924,5.2376595,-0.19261704,-0.71792406,1.1530142,1.6389251,0
3.779378,4.3019204,16.84483,22.186733,11.770631,9.573348,-5.0741982,-12.613385,2.5125644,0.6691757,0
2.862017,2.8493552,4.9663186,4.2722073,0.3461704,0.09197365,-4.620148,-4.1802335,-0.9617352,-0.93833923,0
5.1066437,5.3831425,12.070888,11.046638,9.798652,3.093262,-2.2722359,-7.9533753,0.8977089,-0.122316435,0
3.4489052,3.652291,5.2577405,3.963404,4.118727,3.0889344,-1.1390133,-0.87446946,0.4481035,0.537153,0
5.678681,5.487774,4.584359,5.8795023,1.1037978,3.3806632,-3.4805613,-2.498839,-0.92067593,0.620848,0
4.548513,4.5637774,1.819602,2.1766682,1.4715346,1.1881155,-0.3480674,-0.98855275,0.1176869,-0.0871538,0
3.8976321,4.105375,3.0474858,5.7866697,1.5022948,1.151886,-1.5451909,-4.6347837,0.13921387,-0.07725547,0
4.4136953,4.105092,17.356625,7.552457,9.477522,5.478977,-7.8791018,-2.0734794,0.27395722,0.41869277,6
